SPLAY,SORTED,40000,INSERT,0.015
SPLAY,SORTED,40000,SEARCH,0.012
SPLAY,SORTED,40000,DELETE,0.034
HASH CHAIN,SORTED,40000,INSERT,0.020
HASH CHAIN,SORTED,40000,SEARCH,0.003
HASH CHAIN,SORTED,40000,DELETE,0.018
HASH DOUBLE,SORTED,40000,INSERT,0.024
HASH DOUBLE,SORTED,40000,SEARCH,0.005
HASH DOUBLE,SORTED,40000,DELETE,0.019
AVL,RANDOM,40000,INSERT,0.298
AVL,RANDOM,40000,SEARCH,0.082
AVL,RANDOM,40000,DELETE,0.283
SPLAY,RANDOM,40000,INSERT,0.037
SPLAY,RANDOM,40000,SEARCH,0.019
SPLAY,RANDOM,40000,DELETE,0.018
HASH CHAIN,RANDOM,40000,INSERT,0.029
HASH CHAIN,RANDOM,40000,SEARCH,0.003
HASH CHAIN,RANDOM,40000,DELETE,0.022
HASH DOUBLE,RANDOM,40000,INSERT,0.034
HASH DOUBLE,RANDOM,40000,SEARCH,0.006
HASH DOUBLE,RANDOM,40000,DELETE,0.026
AVL,REVERSE,40000,INSERT,0.248
AVL,REVERSE,40000,SEARCH,0.046
AVL,REVERSE,40000,DELETE,0.173
SPLAY,REVERSE,40000,INSERT,0.015
SPLAY,REVERSE,40000,SEARCH,0.013
SPLAY,REVERSE,40000,DELETE,0.042
HASH CHAIN,REVERSE,40000,INSERT,0.019
HASH CHAIN,REVERSE,40000,SEARCH,0.003
HASH CHAIN,REVERSE,40000,DELETE,0.018
HASH DOUBLE,REVERSE,40000,INSERT,0.024
HASH DOUBLE,REVERSE,40000,SEARCH,0.005
HASH DOUBLE,REVERSE,40000,DELETE,0.018
AVL,SORTED,60000,INSERT,0.220
AVL,SORTED,60000,SEARCH,0.045
AVL,SORTED,60000,DELETE,0.169
SPLAY,SORTED,60000,INSERT,0.015
SPLAY,SORTED,60000,SEARCH,0.012
SPLAY,SORTED,60000,DELETE,0.034
HASH CHAIN,SORTED,60000,INSERT,0.021
HASH CHAIN,SORTED,60000,SEARCH,0.003
HASH CHAIN,SORTED,60000,DELETE,0.020
HASH DOUBLE,SORTED,60000,INSERT,0.029
HASH DOUBLE,SORTED,60000,SEARCH,0.005
HASH DOUBLE,SORTED,60000,DELETE,0.023
AVL,RANDOM,60000,INSERT,0.313
AVL,RANDOM,60000,SEARCH,0.090
AVL,RANDOM,60000,DELETE,0.296
SPLAY,RANDOM,60000,INSERT,0.038
SPLAY,RANDOM,60000,SEARCH,0.021
SPLAY,RANDOM,60000,DELETE,0.021
HASH CHAIN,RANDOM,60000,INSERT,0.034
HASH CHAIN,RANDOM,60000,SEARCH,0.003
HASH CHAIN,RANDOM,60000,DELETE,0.026
HASH DOUBLE,RANDOM,60000,INSERT,0.040
HASH DOUBLE,RANDOM,60000,SEARCH,0.006
